Updated 3/5/2017,CPU,Blck,Core Mult,Core Freq,Cache Freq,Vcore in Bios,Vcore,Fclk,Cooler,Stability,Batch,Ram Settings,Motherboard,Additional Comments,Picture Verified?,VCCIO,SA
Zaen,6600k,101,46,4.646,4.646,1.465 + 0.01,1.488,1.01,H100i GTX,"OCCT 4.4.1 1.1hr, x264 16T 4.5hr (x41), HCI Memtest",Malay L519B886,3000 15-16-16-35 @ 1.352v,Asus z170 Pro Gaming,"LLC Level 5, Phase Control Extreme, CPU Current 140%, Uses iGPU instead of discrete GPU",Yes,,
qqqq,6400,171,27,4.616,4.616,1.35,1.332,0.8,D14,P95 v28.7 S 1hr,Malay L524B509,3200 16-16-16-36 @ 1.35v,Gigabyte z170 D3H,LLC High,,,
DeathAngel47,6700k,100.02,46,4.6011,4.4011,1.35 + 0.02,1.368,1,H100i v2 PP,"P95 v28.7 Small FFTs 1hr, P95 v26.6 Small FFTs, Large FFTs 1hr, Realbench 1hr",Vietnam X548C056,XMP 3200 16-18-18-36-2T @ 1.35v,Asus z170 Hero,LLC Level 6,Yes,1.224,1.216
Incog,6600k,100,46,4.6,4.6,Offset +0.01,1.318,0.8,Scythe Katana 4 PP,P95 v27.9 8k 4hr,Malay L519C025,2400 16-16-16-39 @ 1.2v,Gigabyte z170 M-D3H,,Yes,,
FiShBuRn,6700k,100,46,4.6,4.6,1.36,1.344,1,"Custom Loop, 240mm",x264 16T 9hr (x72),,3200 15-16-16-35 @ 1.35v,Asus z170 Gene,LLC Level 4,Yes,1.35,1.35
Nevetas,6700k,100,46,4.6,4.6,1.37 +0.001 offset,1.376,1,H100i GTX,"x264 16T x100, Realbench 16hr, P95 v28.7 8k 5hr",,XMP 3000 15-17-17-35 @ 1.35v,Asus z170 Extreme,,Yes,,
The REAL 7,6700k,100,46,4.6,4.6,1.35,1.384,,Custom Loop Delid,Realbench 8hr,L526B258,XMP 3200 16-18-18-36 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,1.2,1.25
Jpmboy,6600k,100,46,4.6,4.6,1.46,1.452,1,Custom Loop,"P95 v28.7 2.5hr (Various FFT sizes), x264 (x50)",Engineering Sample,3466 16-18-18-44 @ 1.49v,Asus z170 Extreme,"LLC Level 5, PCH 1.075v, DMI 1.22v",Yes,1.212,1.212
SteveRo,6300,121.053,46,4.6,4.6,1.5,1.5?,967.9,"Custom Loop, 2x480mm ",P95 v28.7 1hr,,2098 15-15-15-35 @ 1.4v,ASRock z170 OC Formula,"LLC Level 1, Dual cores mean low temps",Yes,1.2,1.2
scyther,6600k,100,46,4.6,4.5,1.32,1.312,1,Cryorig H5 Ultimate,x265 16T 8hr (x50),malay L547C123,XMP 2400 15-15-15-35,Asus z170 AR,LLC Level 6,Yes,,
Cyro999,6700k,100,46,4.6,4.5,1.39,1.392,1,Silver Arrow,x264 16T x50,Meow!,3200 16-18-18-36 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,1.1375,1.1375
spddmn24,6600k,100,46,4.6,4.4,1.35,1.375,1,H801 GT,Realbench 8hr,L524B406,3000 15-15-15-35 @ 1.38v,MSI z170 Krait Gaming,LLC 1,Yes,,1.2
Bride,6600k,100,46,4.6,4.4,1.335,1.416,1,ID-Cooling Frostflow 120,OCCT Small 1hr,China X548B047,3000 15-15-15-35,ASRock z170 X13.1,"A choke was overheating, but was fixed with an extra fan",Yes,,
Halbs,6700k,100,46,4.6,4.3,Offset +60mv,1.296,1,Deepcool Maelstrom 120mm,"x164 16T 11hr (x86), OCCT 1hr",Malay L537B214,3200 15-16-16-35 @ 1.384v,ASRock z170 AC,"LLC Level 2, Finds cooling to be subpar",Yes,,
WiLLSK,6600k,100,46,4.6,4.3,1.365,1.36,1,H100i GTX,x264 x45 (7hr),,XMP 2666 15-17-17-35 @ 1.2,Asus z170 Gene,LLC Level 6,Yes,,
Strife21,6600k,100,46,4.6,4.2,1.32,1.328,,H100i GTX PP,Realbench 2.41 6.5hr,Malay L524B277,XMP 3000 15-15-15-35 @ 1.35v,Asus z170 Hero,"LLC Level 5, Needed to use ""Tweak Mode 1"" to get the ram working at XMP",,,
Wacko90901,6700k,100,46,4.6,4.2,1.365,1.344,,Custom Loop,"P95, Aida64 30 minutes",Malay L527B622,2800 16-16-16-37 @ 1.2v,MSI z170 M7,,,,
Asmola,6700k,100,46,4.6,4.2,1.36,1.344,1,U14S,P95 v28.7 72hr,L527B283,3466 16-17-17-38 @ 1.353v,Asus z170 Gene,LLC Level 5,Yes,,
austinmrs,6600k,100,46,4.6,4.2,1.43,1.344,1,H110i GT,x264 16T 8hr,L547B504,2133 @ 1.2v,Asus z170 hero,LLC Level 5,Yes,,
krutoydiesel,6700k,100,46,4.6,4.2,1.34,1.344,0.8,"Custom Loop, 360+280mm, CPU + 980ti",x264 16T 18hr (x141),Vietnam X630B755,15-17-17-35 @ 1.35v,LLC Level 5,Up to 68C under stress,Yes,,
thetyrantcbass,6600k,100,46,4.6,4.2, Offset + 0.06v,1.38,1,D15 LNA,x264 16T 8hr (x51),X548C134,2400 16-16-39-2T @ 1.2v,Gigabyte z170 UD5,"LLC High, Also claims P95 28.7 Blend tested",Yes,,
deathroll,6700k,100,46,4.6,4.2,1.375,1.394,1,D14,x264 16T 9hr (x70),L525B417,2666 15-17-17-35 @1.2v,Asus z170 Hero,LLC Level 5,Yes,,
stixi,6700k,100,46,4.6,4.2,1.3,1.424,1,H110i GTX,x264 16T 8hr,Malay L5198743,3200 15-16-16-30 @ 1.353v,Asus z170 Gene,LLC Level 6,,,
ansontzcheung,6700k,100,46,4.6,4.1,1.296,1.325,,H110i GT,Realbench 4hr,Malay L518B951,XMP 3000 15-15-15-35 @ 1.35v,Asus z170 Hero,LLC Level 5,,,
alphadecay,6700k,100,46,4.6,4.1,1.311,1.339,1,Nepton 240M,x264 16T 5hr (x40),Malay L530B223,2800 15-15-15-35 @ 1.35v,Asus z170 A,,Yes,,
Scoundrel,6700k,100,46,4.6,4.1,1.36,1.36,,H100i,P95 v28.7 24hr,Malay L5208610,XMP 3200 16-18-18-36 1T @1.35v,Asus z170 Hero,LLC Level 5; Says 0802 UEFI works better than previous version,Yes,,
Exley,6700k,100,46,4.6,4.1,1.33 + .005,1.392,,H100i GTX,"x264 16T 5hr (x40), Realbench 1hr",Malay L537B213,3000 15-15-15-35 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,,
SimpleTech,6700k,100,46,4.6,4,1.355,1.332,0.8,Custom Loop,x264 16T 13.5hr (x103),Malay L535B053,2133 15-15-15-35-2T @ 1.2v,Gigabyte z170 Gaming 7,"LLC High, CPU Microcode v35",Yes,,
allen5924,6700k,100,46,4.6,4,1.27,1.345,,H100i GTX,x264 16T 6.4hr,Malay L519B892,XMP 2666 16-18-18-35 @ 1.35v,Gigabyte z170 5,,Yes,,
shredzy,6700k,100,46,4.6,4,1.325,1.328,,H110i GTX,Realbench 8hr,Malay  L523B541,XMP  2666 16-18-18-35 @1.2v,Asus z170 Hero,LLC Level 5,,,1.15
ThunderCleese,6700k,100,46,4.6,4,1.375,1.356,0.8,PhanteksTC14PE,x264 16T 22.5hr (x172),Malay L518C404,2400 15-15-15-35 @ 1.2v,Gigabyte z170 Gaming 5,Mobo lacks fine Fclk/LLC adjustment,Yes,,
andyck26,6600k,100,46,4.6,3.9,1.265,1.264,1,U14S,x264 16T 6.5hr (x41),Malay L520B673,2600 15-17-17-35 @ 1.2v,Asus z170 Ranger,LLC Level 5,Yes,,
Benny99,6600k,100,46,4.6,3.9,1.28,1.28,1,D14,x264 16T 8hr (x50),Malay L549B847,3000 15-17-17-35 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,1.1,1.1
Terranigma73,6600k,100,46,4.6,3.9,1.31,1.312,1,Scythe Fuma PP,x264 12hr (x32),L603F536,2400 16-16-16 @ 1.2v,ASRock z170 Extreme 4,LLC Level 1,Yes,,
Zhany,6600k,100,46,4.6,3.9,1.35,1.328,1,H105,"x264 16T x50, IBT x10",,2666 16-18-18-35 @ 1.2v,z170 MSI SLI Plus,"LLC Mode 1, Cannot hit 4.7ghz under 1.4v",Yes,1.12,1.2
Gorhell,6600k,100,46,4.6,3.9,,1.352,1,Cm Huper 212x,OCCT Large 1hr,L545B437,2666 16-18-18-36-2T @ 1.2v,Asus z170 Ranger,,Yes,,
tone1492,6600k,100,46,4.6,3.9,1.365,1.373,1,Seidon 120 PP,x264 x50,Malay L549B657,2666 15-17-17-35 @ 1.2v,MSI z170 A,LLC Mode 1,Yes,,
dlewbell,6600k,100,46,4.6,3.5,1.31,1.296,1,PhanteksTC14PE,P95 v28.7 Small 1hr,,XMP 3000 15-17-17-35 @ 1.35v,Gigabyte z170 Sniper,LLC High,Yes,,
Soapbox187,6700k,190,24,4.56,4.37,1.4,1.408,,H110i GTX Push/Pull,"P95 1344 2hr, gaming, Firestrike",Germany,3040 15-17-17-35 @1.35v,Asus z170 A,"LLC Auto, PCH voltage 1.1v",,1.15,
Balu0,6600k,130,35,4.55,4.16,1.37,1.408,1.04,H110,P95 v28.7 1hr,Hungary L521B645,~2800 14-15-15-39 @ 1.35v,Asus z170 Ranger,LLC Level 6,Yes,,1.2
creisti86,6600,136.5,33,4.504,4.504,1.35,1.344,1.091,ThermalRight Ultra 120 Extrene,x264 16T 8hr,Romania L548C127,2183 15-15-1535 @ 1.2v,Gigabyte z170 Gaming 7,"LLC High, Ram downclocked",Yes,,
jaket1980,6600k,100,45,4.5,4.5,1.295,1.273,1,H100i,P95 v27.9 Blend 9.5hr,,2400 15-15-15-35 @ 1.2012v,Asus z170 AR,"LLC Level 5, ~64C @ Prime",Yes,,
Mr0czny,6700k,100,45,4.5,4.5,1.35,1.342,,PhanteksTC14PE,P95 v28.7 Blend 4.5hr,L524B416,3200 16-16-16-36 @ 1.35v,Asus z170 Hero,"LLC Level 3, 0802 bios, Ripjaws V",Yes,1.2,1.2
Ikera,6600,136.45,33,4.5,4.5,1.36,1.356,1.364,CM Hyper 212 LED,P95 v28 1hr,,2545 15-16-16-36 @ 1.24v,Gigabyte z170 XP-SLI,LLC High,Yes,,
wildzcardz,6700k,100,45,4.5,4.5,,1.36,,"212 Evo PP, Delid",P95 v28.7 1hr,,3200 16-16-16-36 @ 1.35v,ASRock z170 K6+,LLC Level 3,Yes,,
Pants536,6700k,100,45,4.5,4.3,1.3,1.284,1,CM Hyper 212 Evo,x264 16T 5hr,,2400 15-15-15-35 @ 1.2v,Gigabyte z170 Gaming 5,"LLC High, 68C average temp",Yes,,
FEAR6655,6700k,100,45,4.5,4.1,1.31,1.296,1,Kuhler H2O 620,x264 x80 (10hr+),Malay L519B744,2666 14-15-15-36 @ 1.225v,Asus z170 Pro Gaming,LLC Level 4,Yes,,
hapyhar0ld,6600k,100,45,4.5,4.1,1.325,1.32,1,H110i GT,P95 v28.7 Small 25hr,Malay L524B315,2133 13-15-15-28 @ 1.2v,Asus z170m Plus,LLC Level 5,Yes,,
HOODedDutchman,6700k,100,45,4.5,4.1,1.331,1.336,1,Arctic Cooling Freezer 13,"x264 16T 7hr, IBT Max x20",L606F306,2666 16-18-18-35 @ .2v,,,Yes,,
d13mass,6700k,100,45,4.5,4.1,1.38,1.36,1,D14,x264 16T 11hr,L531B269,2800 16-16-16-37 @ 1.2v,MSI z170 Gaming M5,"4,5ghz @ ~1.44v",Yes,,
AverdanOriginal,6600k,100,45,4.5,4,1.28,1.28,1,Noctua NH-U9s,P95 v28.7 1hr,L518C005,3000 15-17-17-35 @ 1.35v,Asus z170 Hero,"LLC Level 6, Also claims Realbench 2hr",Yes,1.1,1.1
VulcanDragon,6700k,100,45,4.5,4,1.36,1.371,,CM Evo 212 PP,x264 13hr,Malay L523B380,XMP 3000 15-15-15-35 @ 1.35v,Gigabyte z170 Gaming 7,,Yes,,
nasuellia,6700k,100,45,4.5,4,1.44,1.411,,H110i,P95 v28.5 6hr,Malay L519B875,2400 16-16-16-39-2T @ 1.2v,MSI z170 M5,,Yes,,
NikoJohnson,6600k,100,45,4.5,3.9,1.3,1.312,1,Cryorig M9i,OCCT Medium 12hr,Malay L540B484,3000 18-21-21-40 @ 1.2v,MSI z170 Tomahawk,LLC Level 1,Yes,,
Guzmanus,6700k,100,45,4.5,3.8,Offset +85mv,1.316,1,Noctua U12S,P95 v28.7 1344 1.25hr,,2600 15-17-17-38 T2 @ 1.35v,ASRock z170 Extreme 4,LLC Level 4,Yes,1.05,1.15
Lucky 23,6700k,100,45,4.5,4.4,1.255,1.299,1,"Alphacool 360mm, 240mm, 120mm",Realbench 6hr,Malay L548B3990,"3000 15-16-1635 @ 1,.35v",Gigabyte z170 Gaming 6,LLC High,Yes,,
Sn4ke,6700k,100,45,4.5,4.3,1.308,1.31,1,CM Hyper 212 Evo PP,"x264 16T 5hr (x37), Realbench 5hr",X548B937,3200 16-16-16-35 @ 1.35v,Asus z170 Hero,LLc Level 5,Yes,,
Riffraf,6600k,100,45,4.5,3.5,1.174,1.296,0.8,CM Hyper 212 Evo PP,P95 v28.7 Blend 1.5hr,,2666 14-14-14-36,Gigabye z170 D3H,,Yes,,
acphydro,6600k,100,44,4.4,4.2,,1.248,1,Thermalright Truespirit 140,P95 Blend v26.6 21hr,,3200 15-17-17-35-1T @ 1.36v,Asus z170 AR,LLC Level 4,Yes,,
NinjaDuck,6600k,100,44,4.4,3.9,1.36,1.36,0.8,BeQuiet! Dark Rock 3,"P95 28.7 Blend 14hr, Realbench 1hr",L521B645,2666 15-17-17-36 @ 1.2v,Asus z170 Pro Gaming,LLC Level 4,Yes,,
konspiracy,6600k,100.1,42,4.204,3.502,1.27,1.24,0.8,"Custom Loop, 360mm+240",P95 28.7 Blend 9hr,Malay L524B406,2133 15-15-15-36 @ 1.2v,Gigabyte z170 XP-SLI,LLC High,Yes,,
jmpboy,6300,102.66,38,3.9,3.9,1.2,1.2,,Custom Loop (Koolance 380i block),P95 v28.7 1hr,,3700 18-20-20-48 @ 1.5v,Asus z170 Extreme,LLC Level 5,Yes,,
,,,,,,,,,,,,,,,,,
Sample Size,143,,,,,,,,,,,,,,,,
Average OC,4.68,Median OC,,4.70,,,,,,,,,,,,,
Average Vcore,1.38,Median Vcore,,1.38,,,,,,,,,,,,,1337
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,, ,,,Such overlock wow,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,This gives you a rough idea of where you stand.,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Top 1%,5,,,,,,
,,,,,,,,,,Top 4%,4.90552,,,6600k,6700k,,
,,,,,,,,,,Top 22%,4.8,,Average Clock,4.64,4.70,,
,,,,,,,,,,46th Percentile,4.8,,Average Voltage,1.37,1.38,,
,,,,,,,,,,Bottom 32%,4.7,,,,,,
,,,,,,,,,,Bottom 9%,4.7,,,,,,
,,,,,,,,,,Bottom 2.5%,4.4,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Secondary Chart (For people who did not fufill minimum requirements to be in the main chart.),,,,,,,,,,,,,,,,,
Shiftstealth,6700k,101.1,49,4.95,,1.45,1.44,0.804,"Custom Loop, 480mm, Delid",XTU? IBT? 1hr,2133 15-15-15-35-2T,Gigabyte z170 Gaming 3,LLC High,HT Off,,,
Chronicfx,6700k,100,49,4.9,4.5,1.49,1.488,1,"H110GT, Delid",x265,,3000 15-17-17-35 @ 1.368v,Gigabyte z170 Gaming 7,LLC Higher,,1.17,1.17
Menkes,6700k,101.6,48,4.851,4.2,1.35,1.408,,Custom Loop,Aida 2hr,,XMP 3000 15-15-15-35 @ 1.35v,Asus z170 Hero,,Yes,,
Steveace2,6700k,100,48,4.8,4.7,1.41,1.424,,Custom Loop Delid+IHS Reseat,x264 x4,Malay L527B622,3200 15-17-17-35 @ 1.35v,Asus z170 Pro Gaming,LLC Level 5,Yes,,
Piers,6700k,100,48,4.8,4.5,1.32,,,H110 GT,x264 FHD Benchmark 3hr,,2667 15-17-17-35 @ 1.2v,Asus z170 Hero,,Yes,,
mtrai,6600k,100,48,4.8,4.3,1.425,1.425,1,Hyper Evo 212,Realbench 4hr,,3200 16-18-18-36 @ 1.392,Asus z170 A,LLC Level 5,Yes,,
dani1337,6600k,100,48,4.8,4.2,,1.36,1,Artic Freezer Xtreme v2,"P95 28.5 1344 2hr, x264 15T 1.5hr",,2800 17-18-18-36 @ 1.3v,Asus z170 P,LLC Level 2,,1.12,1.12
SaveIIM,6700k,100,48,4.8,4.2,1.45,1.411,,H80,Cinebench R15 and 3D mark 3 pass,L525B430,3200 16-18-18-36 @ 1.35v,Asus z170 Hero,Will be updated in the future,Yes,,
sub-zero378,6600k,100,47,4.7,4,1.372,1.408,0.8,h100i v2 + CLU Paste,Realbench 2hr,Malay L548B532,17-18-18-36 @ 1.5v,Asus z170 Pro Gaming,LLC Level 4,,,
Marpin,6700k,100,47,4.7,4.6,1.385,1.408,1,H100i GTX,x264 16T 5hr (x40),Malay L537B220,3466 16-17-17-32 @ 1.344v,Asus z170 Impact,LLC Level 6,,,
newdeathscope,6700k,100,46,4.6,,1.285,1.3,,D15,IBT Very High 13he,Vietnam X554C412,2133 14-14-35,Asus z170 Plus,First time OCer,Yes,,
The REAL 7,6700k,100,46,4.6,4.6,1.35,1.384,,Custom Loop Delid,Realbench 4hr,L529B427,3200 16-18-18-36 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,,
Mjolken,6700k,100,46,4.6,4.4,1.38,1.384,1,D15,x264 16T 6hr (x55),,XMP 2666 16-18-18-35-2T @ 1.2v,Asus z170 Pro Gaming,LLC Level 5,,,
Qba73,6700k,100,46,4.6,4,1.328,,,H100i GTX,,Malay L523B475,XMP 3000 15-15-15-35 @ 1.35v,Asus z170 Deluxe,LLC Level 5,,,1.07
johnyb0y,6600k,102,44,4.48,4.48,1.161,1.29,,Thermaltake Macho Rev. A,LinX 0.6.5 3hr,,3180 16-16-16-36-2T @ 1.368v,Gigabyte z170 HD3P,,Yes,,
Colonel_Gerdauf,6600k,100,40,4/0,4,1.2,1.188,,Switech H240-X,P95 v28.7 Large 1hr,,2400 c14,Gigabyte z170 Gaming 5,,,,
Imakuniaw,6600k,101.5,42,4.263,4.263,1.275,1.296,1,H55,Lots of Prime95,,3145 15-18-18-36-2T @ 1.4v,ASRock z170 Extreme 4+,LLC Level 3,,,
JamesRC,6600k,100,42,4.2,3.9,1.2,1.168,1,Cryorig H5,P95 v28.7 4hr,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Overclocks are listed in descending order from highest net core frequency to lowest. In ties, the higher cache clock will be placed higher up. If that is also a tie, the overclock using less voltage wins. If that is also a tie, first person to get the spot wins.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"IHS Reseated means delid and the IHS was put back into place, in other words not bare die. IHS Resealed means Siliconlottery has resealed the IHS back on, a la Intel but in a better way. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
The data from this spreadsheet is from http://www.overclock.net/t/1570313/skylake-overclocking-guide-with-statistics.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Skylake is no longer the latest-gen mainstream Intel line of processors. As such, no updates to this chart are guarenteed anymore.",,,,,,,,,,,,,,,,,